card,card_type,ability,part,timing,attack_side,resolution,affects_self,affects_others,surge_option,effect,notes
[A New Hope],SkirmishUpgrade,Army Restriction,,during_setup,,automatic,TRUE,,FALSE,"Include only if every group is named one of: Hero of the Rebellion, C-3PO, Chewbacca, Han Solo, Leia Organa, Obi-Wan Kenobi, R2-D2",list-building restriction
[A New Hope],SkirmishUpgrade,Deplete Effect,,during_activation,,prompt,FALSE,any friendly figure (unlimited),FALSE,"Deplete: a friendly figure plays a Command card whose restriction matches another Deployment card name in your army (calls CC-play pipeline)",range unspecified -> treated as any friendly
[Advanced Com Systems],SkirmishUpgrade,LEADER Only,,during_setup,,automatic,TRUE,,FALSE,LEADER only (inclusion restriction),list-building restriction
[Advanced Com Systems],SkirmishUpgrade,Range Extension,,always,,automatic,FALSE,friendly figures within 3,FALSE,"This card's abilities that choose/affect adjacent or within-2 friendly figures may instead affect friendly figures within 3 spaces",meta: modifies range of this card's other friendly-targeting abilities
[Balance of the Force],SkirmishUpgrade,Extra CC Points,,during_setup,,automatic,TRUE,,FALSE,May include an additional 3 points of Command cards in your deck,list-building (deck size)
[Beast Tamer],SkirmishUpgrade,Creature Move,,start_of_activation,,prompt,FALSE,friendly CREATURE figure within X (the activating figure),FALSE,"Exhaust at the start of a CREATURE's activation -> that figure performs a move (calls move pipeline)",targets the activating CREATURE
[Beast Tamer],SkirmishUpgrade,Non-Sentient Interact,,start_of_activation,,prompt,FALSE,friendly NON-SENTIENT figure (the activating figure),FALSE,"Exhaust at the start of a NON-SENTIENT figure's activation -> that figure can interact this activation",grants interact for the activation
[Black Market],SkirmishUpgrade,End of Round Reveal,,end_of_round,,prompt,FALSE,friendly SMUGGLER figure (unlimited),FALSE,"At end of round a friendly SMUGGLER may suffer 1 Strain; if so reveal top CC, then choose: spend VP = cost to draw it / discard it and gain VP = cost / return it to top of deck (calls strain, CC-reveal/draw, VP pipelines)",range unspecified -> any friendly SMUGGLER
[Channel the Force],SkirmishUpgrade,Tutor FORCE USER,,start_of_round,,prompt,FALSE,friendly FORCE USER figure (unlimited),FALSE,"Exhaust when you would draw 1+ Command cards: draw 1 fewer, search deck for a FORCE USER card and put it in hand, shuffle, then a friendly FORCE USER suffers Strain = revealed card cost (calls CC-draw + strain pipelines)",triggers on any CC draw (start of round or setup)
[Clan of Two],SkirmishUpgrade,UNIQUE GUARDIAN Only,,during_setup,,automatic,TRUE,,FALSE,UNIQUE GUARDIAN only (inclusion restriction),list-building restriction
[Clan of Two],SkirmishUpgrade,Place The Child,,during_setup,,automatic,TRUE,adjacent space,FALSE,"At start of mission place The Child companion in your space or an adjacent space",companion placement
[Clan of Two],SkirmishUpgrade,Child Activates (start),,start_of_activation,,automatic,TRUE,,FALSE,"The Child may activate at the start of your activation",companion activation
[Clan of Two],SkirmishUpgrade,Child Activates + Push (end),,end_of_activation,,automatic,TRUE,adjacent space,FALSE,"The Child may activate at the end of your activation; then push The Child (or its incapacitated token) to your space or an adjacent space",companion activation + reposition
[Clan of Two],SkirmishUpgrade,Child Damage Immunity,,always,,automatic,FALSE,The Child companion,FALSE,"The Child cannot suffer Damage unless it is being directly attacked",targets the companion
[Clan of Two],SkirmishUpgrade,Retrieve The Child,,when_defeated,,prompt,TRUE,,FALSE,"While you are defeated a UNIQUE figure may retrieve The Child (or its incapacitated token) to gain 1 VP (calls VP pipeline)",triggers on this figure's defeat
[Combat Suit],SkirmishUpgrade,Pierce Reduction,,attack:modifiers,defender,automatic,TRUE,,FALSE,"While defending, reduce the Pierce value of the attack results by 1 (min 0)",
[Cross Training],SkirmishUpgrade,TROOPER Only,,during_setup,,automatic,TRUE,,FALSE,TROOPER only (inclusion restriction),list-building restriction
[Cross Training],SkirmishUpgrade,Gain SPY,,always,,automatic,TRUE,,FALSE,This group gains the SPY trait,
[Cross Training],SkirmishUpgrade,Become Hidden,,after_deployment,,automatic,TRUE,,FALSE,"After deployment this group becomes Hidden (Hidden condition)",
[Cross Training],SkirmishUpgrade,Defense Reroll,,attack:rerolls,defender,prompt,TRUE,,FALSE,"Exhaust while defending: replace 1 defense die with a defense die of a different color, then reroll it (that new die counts as rerolled) (calls reroll pipeline)",
[Devious Scheme],SkirmishUpgrade,Choose Zone / Give Initiative,,during_setup,,prompt,TRUE,,FALSE,"After setup choose your deployment zone; opponent starts with initiative and deploys first. No effect if opponent also has Devious Scheme.",setup/initiative effect
