card,card_type,ability,part,timing,attack_side,resolution,affects_self,affects_others,conditional,limit,surge_option,effect,pipelines,notes
74-Z Speeder Bike (Elite),DC,Mounted,1,start_of_activation,None,automatic,TRUE,None,None,None,FALSE,Gain 3 movement points,gain_mp,None
74-Z Speeder Bike (Elite),DC,Thrusters,1,always,None,automatic,TRUE,None,while moving,None,FALSE,"While moving, ignore impassable terrain and must enter at least 1 space you already occupy",movement,None
74-Z Speeder Bike (Elite),DC,Forward Mounted Blasters,1,attack:modifiers,attacker,prompt,TRUE,None,target space is inline (same row OR column) with both of your spaces,None,FALSE,If the target space is inline (same line — same row OR same column) with both of your spaces you may reroll 1 attack die; otherwise apply -1 Damage to the attack results,reroll;damage,same row means same line (horizontal OR vertical); reconciled to the new Speeder Bike card (alexanbv 2026-06-19) [CHANGED 2026-06-21 IACP update — does not match printed text]
[A New Hope],Upgrade,[A New Hope],1,special_action,None,prompt,TRUE,a friendly figure,a Command card restriction matching the name of another Deployment card in your army,None,FALSE,Deplete this card to have a friendly figure play a Command card with a restriction matching the name of another Deployment card in your army,cc_play,None
[Advanced Com Systems],Attachment,[Advanced Com Systems],1,always,None,automatic,TRUE,other friendly figures within 3,abilities that choose or affect adjacent or within-2 friendly figures,None,FALSE,Abilities that choose or affect adjacent friendly figures or friendly figures within 2 can choose or affect other friendly figures within 3 instead,None,None
[Balance of the Force],Upgrade,[Balance of the Force],1,during_setup,None,automatic,TRUE,None,None,None,FALSE,You may include an additional 3 points worth of Command cards in your deck,None,deckbuilding effect
[Beast Tamer],Upgrade,[Beast Tamer],1,start_of_activation,None,prompt,TRUE,a CREATURE figure,at the start of a CREATURE's activation,None,FALSE,Exhaust this card at the start of a CREATURE's activation for that figure to perform a move,move,None
[Beast Tamer],Upgrade,[Beast Tamer],2,start_of_activation,None,prompt,TRUE,a NON-SENTIENT figure,figure has the NON-SENTIENT trait,None,FALSE,Exhaust this card at the start of a figure's activation with the NON-SENTIENT trait; during this activation that figure can interact,interact,None
[Black Market],Upgrade,[Black Market],1,end_of_round,None,prompt,TRUE,a friendly SMUGGLER,a friendly SMUGGLER suffers 1 Strain,None,FALSE,"A friendly SMUGGLER may suffer 1 Strain to reveal the top Command card of your deck, then choose: spend VPs equal to cost to draw it, discard it and gain VPs equal to cost, or return it to top of deck",strain;cc_draw;cc_discard;vp,None
[Channel the Force],Upgrade,[Channel the Force],1,always,None,prompt,TRUE,a friendly FORCE USER,when you would draw 1 or more Command cards,None,FALSE,"Exhaust this card when you would draw Command cards; draw 1 fewer, search deck for a FORCE USER card and put it in hand, shuffle, then a chosen friendly FORCE USER suffers Strain equal to the revealed card's cost",cc_draw;strain,None
[Clan of Two],Attachment,[Clan of Two],1,during_setup,None,automatic,TRUE,The Child companion,at the start of the mission,None,FALSE,Place The Child companion in your space or an adjacent space,companion_place,None
[Clan of Two],Attachment,[Clan of Two],2,end_of_activation,None,automatic,TRUE,The Child figure,None,None,FALSE,Push the Child figure or its incapacitated token to your space or an adjacent space,push,None
[Clan of Two],Attachment,[Clan of Two],3,always,None,automatic,TRUE,The Child,The Child is being attacked,None,FALSE,The Child cannot suffer Damage unless it is being attacked,None,None
[Clan of Two],Attachment,[Clan of Two],4,when_defeated,None,prompt,TRUE,a UNIQUE figure,while you are defeated,None,FALSE,A UNIQUE figure may retrieve The Child or its incapacitated token to gain 1 VP,vp,None
[Combat Suit],Attachment,[Combat Suit],1,attack:modifiers,defender,automatic,TRUE,None,while defending,None,FALSE,"Reduce the Pierce value of the attack results by 1, to a minimum of 0",None,text says Piece likely meaning Pierce
[Cross Training],Attachment,[Cross Training],1,after_deployment,None,automatic,TRUE,None,None,None,FALSE,After deployment this group becomes Hidden,condition,group also gains SPY trait (trait grant not specced)
[Cross Training],Attachment,[Cross Training],2,attack:rerolls,defender,prompt,TRUE,None,a figure in this group is defending,exhaust,FALSE,Exhaust this card to reroll 1 Defense Die; before rerolling replace that die with another defense die of a different color which is considered rerolled,reroll,None
[Devious Scheme],Upgrade,[Devious Scheme],1,during_setup,None,prompt,TRUE,None,opponent does not also have Devious Scheme,None,FALSE,"After setup, choose your Deployment zone; your opponent starts with initiative and must deploy first",None,None
[Doubt],Upgrade,[Doubt],1,end_of_round,None,prompt,FALSE,a hostile figure,None,None,FALSE,Choose a hostile figure and discard 1 condition or Power Token from that figure,condition,None
[Doubt],Upgrade,[Doubt],2,attack:rerolls,attacker,prompt,FALSE,a hostile figure,while a hostile figure is attacking,None,FALSE,Deplete this card while a hostile figure is attacking to choose 1 attack die; your opponent must reroll that die,reroll,None
[Driven by Hatred],Attachment,[Driven by Hatred],1,attack:modifiers,attacker,automatic,TRUE,None,None,None,FALSE,Passive bonus: +1 Damage,damage,None
[Driven by Hatred],Attachment,[Driven by Hatred],2,attack:rerolls,attacker,prompt,TRUE,None,while attacking,None,FALSE,You lose Brutality; while attacking you may reroll 1 attack die,reroll,None
[Driven by Hatred],Attachment,[Driven by Hatred],3,end_of_round,None,prompt,TRUE,None,None,None,FALSE,"Move up to 2 spaces, then you may use Force Choke or perform an attack; when you declare this attack remove 1 die from your attack pool",move;damage,None
[Explosive Armaments],Attachment,[Explosive Armaments],1,attack:modifiers,attacker,prompt,TRUE,None,while attacking,exhaust,FALSE,Exhaust this card while attacking to apply Blast 1 to the attack results,damage,"group also gains Surge: +1 Damage Blast 1 (generic surge chart, not specced)"
[Extra Armor],Upgrade,[Extra Armor],1,after_deployment,None,prompt,TRUE,friendly figures,None,None,FALSE,After deployment distribute 4 Block Tokens among friendly figures,damage_token,None
[Feeding Frenzy],Attachment,[Feeding Frenzy],1,attack:modifiers,attacker,prompt,TRUE,the attack target,attacking a figure that has suffered damage,exhaust,FALSE,Exhaust this card while attacking a figure that has suffered damage to apply +1 Damage to the attack results,damage,None
[Feeding Frenzy],Attachment,[Feeding Frenzy],2,spend_surges,attacker,prompt,TRUE,None,while attacking an adjacent figure,None,TRUE,Surge: Recover 2 Damage,recover,named conditional surge ability (only vs adjacent figure)
[First Strike],Upgrade,[First Strike],1,during_setup,None,automatic,TRUE,None,None,None,FALSE,After setup you and your opponent both receive 4 VPs,vp,None
[Flame Trooper],Attachment,Incinerate,1,attack:after_resolves,attacker,automatic,TRUE,each figure that suffered damage since this attack was declared,None,None,FALSE,"After resolving an attack, each figure that suffered damage since this attack was declared suffers 1 Strain; then if the attack did not miss place a Rubble token in the target space",strain,None
[Flame Trooper],Attachment,Fireproof,1,always,None,automatic,TRUE,None,None,None,FALSE,You cannot suffer Strain; you are unaffected by your own Blast and abilities with Flamethrower in their name,None,None
[Focused on the Kill],Attachment,[Focused on the Kill],1,start_of_activation,None,automatic,TRUE,None,None,None,FALSE,Passive bonus: +5 Health; gain 2 movement points at the start of your activation,gain_mp,passive Health bonus also noted
[Focused on the Kill],Attachment,[Focused on the Kill],2,attack:on_declare,attacker,automatic,TRUE,None,before you declare an attack,None,FALSE,Before you declare an attack you become Focused,condition,lose Surge Recover 3 / gain Surge Pierce 1 are generic surge chart changes
[Fury of Kashyyyk],Upgrade,[Fury of Kashyyyk],1,always,None,automatic,TRUE,friendly WOOKIEES,None,None,FALSE,Friendly WOOKIEES gain Reach,None,None
